Initial population weights = [340.83369838405343, 311.48742796483504, 402.0274534627699, 431.62794339231596, 266.521732950988, 376.0371356903819, 259.4497993315531, 263.2432565995895, 293.84275895460223, 405.69844758566063, 385.6271273259871, 319.52013222341, 318.4559134633632, 376.81750273472767, 351.1984690522359, 225.71510643950353, 351.63141765770695, 317.88355879542877, 508.38341816151734, 338.5556006574324]
Initial population fitness = 0.006844557900828064
Number to retain = 20
Generation 284 fitness  = 0.3478
Generation 285 fitness  = 0.3573
Generation 286 fitness  = 0.3657
Generation 287 fitness  = 0.3809
Generation 288 fitness  = 0.4012
Generation 289 fitness  = 0.4179
Generation 290 fitness  = 0.4369
Generation 291 fitness  = 0.4559
Generation 292 fitness  = 0.4681
Generation 293 fitness  = 0.4716
Generation 294 fitness  = 0.4772
Generation 295 fitness  = 0.4808
Generation 296 fitness  = 0.4837
Generation 297 fitness  = 0.4967
Generation 298 fitness  = 0.5117
Generation 299 fitness  = 0.5235
Generation 300 fitness  = 0.5317
Generation 301 fitness  = 0.5378
Generation 302 fitness  = 0.5418
Generation 303 fitness  = 0.5415
Generation 304 fitness  = 0.5431
Generation 305 fitness  = 0.5427
Generation 306 fitness  = 0.5441
Generation 307 fitness  = 0.5506
Generation 308 fitness  = 0.5651
Generation 309 fitness  = 0.5825
Generation 310 fitness  = 0.6007
Generation 311 fitness  = 0.6104
Generation 312 fitness  = 0.6197
Generation 313 fitness  = 0.6271
Generation 314 fitness  = 0.6319
Generation 315 fitness  = 0.6353
Generation 316 fitness  = 0.6419
Generation 317 fitness  = 0.6531
Generation 318 fitness  = 0.665
Generation 319 fitness  = 0.6745
Generation 320 fitness  = 0.6777
Generation 321 fitness  = 0.683
Generation 322 fitness  = 0.686
Generation 323 fitness  = 0.6908
Generation 324 fitness  = 0.6999
Generation 325 fitness  = 0.7362
Generation 326 fitness  = 0.7555
Generation 327 fitness  = 0.7673
Generation 328 fitness  = 0.7731
Generation 329 fitness  = 0.7789
Generation 330 fitness  = 0.7862
Generation 331 fitness  = 0.793
Generation 332 fitness  = 0.804
Generation 333 fitness  = 0.8182
Generation 334 fitness  = 0.8302
Generation 335 fitness  = 0.8411
Generation 336 fitness  = 0.8463
Generation 337 fitness  = 0.8587
Generation 338 fitness  = 0.8671
Generation 339 fitness  = 0.8731
Generation 340 fitness  = 0.8779
Generation 341 fitness  = 0.883
Generation 342 fitness  = 0.8876
Generation 343 fitness  = 0.898
Generation 344 fitness  = 0.9077
Generation 345 fitness  = 0.931
Generation 346 fitness  = 0.965
Generation 347 fitness  = 1.0127
Average weight per generation = [341, 380, 419, 450, 473, 486, 492, 496, 500, 505, 514, 519, 523, 526, 530, 544, 566, 601, 622, 634, 644, 648, 650, 658, 685, 705, 724, 730, 742, 753, 775, 790, 812, 824, 830, 834, 836, 837, 838, 836, 839, 837, 841, 849, 860, 885, 920, 949, 965, 979, 978, 992, 995, 997, 1004, 1038, 1073, 1104, 1123, 1132, 1139, 1147, 1166, 1185, 1201, 1219, 1230, 1237, 1237, 1244, 1243, 1241, 1249, 1250, 1263, 1273, 1283, 1290, 1288, 1300, 1301, 1306, 1306, 1317, 1326, 1359, 1390, 1428, 1448, 1472, 1483, 1490, 1505, 1526, 1541, 1551, 1560, 1569, 1594, 1607, 1624, 1638, 1654, 1662, 1710, 1768, 1810, 1845, 1867, 1884, 1896, 1902, 1892, 1897, 1910, 1912, 1918, 1946, 1996, 2041, 2068, 2100, 2128, 2204, 2269, 2331, 2400, 2431, 2469, 2491, 2497, 2516, 2532, 2563, 2727, 2845, 2936, 3020, 3141, 3255, 3321, 3369, 3405, 3417, 3444, 3474, 3564, 3694, 3842, 3945, 4018, 4119, 4150, 4196, 4222, 4232, 4280, 4310, 4323, 4345, 4360, 4390, 4481, 4604, 4686, 4727, 4807, 4841, 4865, 4881, 4876, 4898, 4893, 4907, 4909, 4910, 4911, 4888, 4918, 4935, 5032, 5170, 5250, 5313, 5371, 5419, 5440, 5435, 5479, 5503, 5524, 5572, 5632, 5683, 5747, 5788, 5777, 5833, 5891, 6115, 6325, 6511, 6606, 6716, 6848, 7068, 7268, 7456, 7542, 7733, 8056, 8342, 8529, 8693, 8754, 8827, 8948, 9049, 9092, 9113, 9136, 9120, 9116, 9138, 9161, 9095, 9170, 9202, 9361, 9559, 9866, 10133, 10417, 10597, 10651, 10725, 10810, 10846, 10875, 10905, 10947, 11263, 11602, 11874, 12072, 12113, 12195, 12344, 12635, 13050, 13417, 13619, 13758, 13848, 13927, 13986, 14002, 13977, 14180, 14382, 14597, 14838, 14855, 15076, 15137, 15159, 15122, 15156, 15223, 15228, 15232, 15155, 15213, 15266, 15380, 15797, 16016, 16224, 16360, 16404, 16488, 16458, 16596, 17019, 17392, 17867, 18283, 19044, 20059, 20893, 21845, 22792, 23405, 23579, 23859, 24037, 24183, 24836, 25585, 26174, 26584, 26891, 27089, 27077, 27155, 27133, 27203, 27528, 28254, 29122, 30036, 30518, 30985, 31353, 31593, 31763, 32094, 32655, 33251, 33724, 33886, 34147, 34299, 34537, 34997, 36809, 37777, 38364, 38654, 38943, 39309, 39648, 40200, 40907, 41510, 42056, 42315, 42933, 43356, 43655, 43893, 44148, 44381, 44898, 45386, 46547, 48248, 50632]
Number of generations = 348
Number of years = 34
Runtime for this program was 0.014246 seconds.
